David Hutchison,Darlene Ciuffetelli Parker
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R22,The Teaching of Communications Technology II (Grades 11 and 12)
"Further study of the communication industry; the technical knowledge and skills required to teach component areas such as television/video production, art, broadcasting, photography, web communication, print/graphic production at the senior level. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R23
The Teaching of Construction Technology II (Grades 11 and 12),"Further study of extended practical use of tools and materials associated with fine woodworking, furniture and cabinet making. Development of the knowledge and skills related to building construction, zoning regulations, construction techniques, utility systems, sewage and waste disposal and internal and external environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R24,The Teaching of Technological Design II (Grades 11 and 12)
"Further study of the diverse and complex design problems and processes. Variety of design strategies that may be used to solve any technological problem or challenge in areas such as industrial design, mechanical design, architectural design, control system design and/or apparel design. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R25
The Teaching of Hospitality and Tourism II (Grades 11 and 12),"Further study of teaching strategies and skills required for planning, operation and development as reflected in the various sectors of the tourism industry, emphasizing food service. Culinary techniques of food handling/preparation, health and safety standards, use of tools/equipment, origins of foods, event planning, and Ontario tourism attractions. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R26,The Teaching of Manufacturing Technology II (Grades 11 and 12)
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R27,The Teaching of Health Care II (Grades 11 and 12)
"Further study of required teaching strategies and skills. Processes of disease, factors contributing to health and well-being, and care skills required for children and older adults. Review legislation governing care of children and older adults, evaluate social programs and recreational activities, development of an awareness of health and safety issues, and environmental/social issues. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R28
The Teaching of Hairstyling and Aesthetics II (Grades 11 and 12),"Further study of hair care/styling, make-up, manicures and personal hygiene. Development of instructional strategies for teaching cosmetology. Variety of applications that will equip students to provide services for diverse clientele. Considers environmental and societal issues related to the industry. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R29,The Teaching of Transportation Technology II (Grades 11 and 12)
Further study of the teaching strategies and skills required. Expand awareness of environmental and societal issues related to transportation; and apprenticeship and college programs leading to careers in the transportation industry. Use practical and theoretical means to demonstrate the knowledge/skills/values needed to consider the impact of various vehicles on human/social/environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities.,Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R30
The Teaching of Computer Technology II (Grades 11 and 12),"Further study of the teaching strategies and skills required. Examination of computer systems and the control of external devices including the assembly of computers and small networks, installing and configuring hardware and software. Function of key computer components and peripherals, logic gates, fundamental programming concepts, internal numbering and character representation systems, operating systems and networks. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R31,Teaching of Green Industries I (Grades 9 and 10) Part 1
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R34,Teaching Communications Technology I (Grades 9 and 10) Part 1
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of media, including the areas of television/video and movie production, radio and audio production, print and graphic communications, photography, and interactive new media and animation. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R37
The Teaching of Construction Technology I (Grades 9 and 10) Part 1,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of the practical use of tools and materials associated with fine woodworking, furniture and cabinet making. Creating, reading and understanding working drawings; becoming familiar with common construction materials, components, and processes; perform a variety of fabrication, assembly, and finishing operations. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R43,The Teaching of Technological Design I (Grades 9 and 10) Part 1
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of a variety of design processes that may be used in solving any technological challenge or problem. Builds on and forms a continuum with the grades seven and eight science and technology program and the grade nine Exploring Technology program. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R46
The Teaching of Hospitality and Tourism I (Grades 9 and 10) Part 1,"Examination of curriculum documents and resources. Overview of hospitality and tourism areas, as reflected in the various sectors of the tourism industry, emphasizing food service. Culinary techniques of food handling and preparation, health and safety standards, use of tools and equipment, origins of foods, event planning, and Ontario tourism attractions. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R49,The Teaching of Manufacturing Technology I (Grades 9 and 10) Part 1
"Examination of Ontario Ministry curriculum documents and resources. Introduction to teaching strategies and skills; design and fabricate products using a variety of processes, tools, and equipment. Processes include technical drawing, properties and preparation of materials, and manufacturing techniques. Projects may include a robotic challenge, design challenge or fabrication project involving machining, welding, vacuum forming, injection moulding. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program .
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R52
The Teaching of Health Care I (Grades 9 and 10) Part 1,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to teaching strategies and skills required in teaching Health Care. May include health promotion, child/adolescent health concerns, and a variety of medical services, treatments, technologies, biotechnology, home care, dental care, nursing fundamentals, dietary study and rules, exercise and disease prevention. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R55,The Teaching of Hairstyling and Aesthetics I (Grades 9 and 10) Part 1
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Hairstyling, make-up and nail care techniques from a salon/spa perspective. Usage of materials, processes and techniques used in the industry. Teaching of fundamental skills in hairstyling, giving manicures and facials, and providing hair/scalp analyses and treatments. Exploring secondary and post-secondary education pathways and career opportunities including apprenticeships and direct-entry work positions.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R58
The Teaching of Transportation Technology I (Grades 9 and 10) Part 1,"Examination of Ontario Ministry curriculum documents and resources. Introduction to required teaching strategies and skills. Topics include servicing and maintenance of vehicles, aircraft, and/or watercraft. Development of knowledge and skills in construction and operation of vehicle/craft systems and maintenance/repairs. Use of practical and theoretical means to demonstrate the knowledge/skills/values needed to consider the impact of vehicles on human/social/environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R61,The Teaching of Computer Technology I (Grades 9 and 10) Part 1
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to the teaching strategies and skills required, focusing on computer systems, networking, and interfacing, electronics and robotics. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R64
"Professionalism, Law and Principles of Teaching Part 1","Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics, and legal cases."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R70,"Practicum for Professionalism, Law and Principles of Teaching in Ontario: Technological Education"
"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Observation and practice teaching in field-based school placement.",Restriction: open to students admitted to the Technological Education program.
"Note: students will be guided in practice teaching for at least 12 weeks throughout the year. Course credit will not be given without the successful completion of the in-school internship and practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R71
"Student Assessment, Practice and Policy: Technological Education","Basic concepts, skills, practices, and emerging policies associated with student assessment and evaluation. Traditional and authentic assessment methods appropriate to technological education secondary school settings."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R72,"Cognition, Development and the Exceptional Learner: Technological Education"
"Integration of curriculum related to human development and exceptional learners. Topics include cognitive development, intellectual exceptionalities, memory, metacognition and learning strategies, behaviour, behavioural exceptionalities, and classroom management.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R73
ICT for Teaching and Learning: Technological Education,"Use of technology focusing on teacher technological, pedagogical and content knowledge (TPACK). Models of teaching for face-to-face, blended, and online environments."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R74,Professional Collaborative Communities: Technological Education
"Small supervised, practicum-based collaborative groups combining goal setting, professional practice, and learning situated within the classroom context.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R75
Practicum for Professional Collaborative Communities I: Technological Education,Observation and practice teaching in field-based school placement and practice teaching.
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: students will be guided in practice teaching for at least 12 weeks throughout the year. Course credit will not be given without the successful completion of the in-school internship and practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R76,Practicum for Professional Collaborative Communities II: Technological Education
Observation and practice teaching in field-based school placement and practice teaching.,Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: students will be guided in practice teaching for at least 12 weeks throughout the year. Course credit will not be given without the successful completion of the in-school internship and practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R77
Teacher as Researcher: Technological Education,"Development of teachers as experts who employ educational research in their teaching and actively engage in research. Developing teacher awareness of and reflection about their own professional knowledge, values and skills as emerging teachers."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R78,School and Society: Technological Education
"Issues related to the complex relationship between schools and the society in Ontario. Key themes include contemporary goals of education, the organization of schools, student diversity and difference, and family and community relationships with schools.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R91
"Professionalism, Law and Principles of Teaching in Ontario II: Technological Education","Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics, and legal cases. Sessions divided between instructional methods and field experiences."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y01,"Assessment, Evaluation and Reporting Primary/Junior/Intermediate"
"Basic concepts, skills and practices associated with classroom assessment, evaluation and reporting. Grounded in the purpose and principles of sound assessment, a range of assessment and evaluation methods and practices as explored within the Ontario context.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y02,Practicum for Teaching in the Ontario Context Primary/Junior/Intermediate
"Concepts, theories and practices explored in Integrating, Teaching, Learning and Assessment are practised and demonstrated in an educational setting in Ontario.","Note: course credit will not be given without successful completion of practice teaching. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y03,Socioemotional/Physical Processes and the Exceptional Learner Intermediate/Senior
"Addressing and integrating developmental domains, human development, and the characteristics of exceptional learners. Topics include socio-emotional development, mental health, communication exceptionalities, sociocultural diversity, and physical and multiple exceptionalities.","Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y04
Special Topics: Teaching in Middle School (Grades 7 and 8),"Introduction to the middle school context: being a generalist teacher, the grade 7 and 8 curriculum, the culture of elementary/middle schools, and the transition to secondary school."
Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y05,Programming for the Inclusive Classroom Intermediate/Senior
"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y06,Special Topics: Environmental Education in Secondary Schools
Introduction to environmental education in Secondary Schools. Integrating Environmental Education across all curricular areas and school-wide initiatives (e.g. Ecoschools Ontario).,Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y08
Teaching Digital Learners in the Digital Age Primary/Junior/Intermediate,"Technology-enhanced teaching of elementary learners emphasizing the connection between content knowledge from the Ontario curriculum and instructional strategies and pedagogical knowledge for teaching digitally-connected learners. Models of teaching for face-to-face, blended and online environments, curriculum-based lesson activities that blend technology into instruction, and the technical skills for implementing digital learning environments."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y12
Special Topics: Student Success Programs (Grades 7 to 12),"Introduction to alternative programming that exists in Secondary Schools: Specialist High Skills Major, alternative credit options, Cooperative education, Dual Credit Programs."
Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y14,Special Topics: Aboriginal Education in Secondary Schools
Introducing Indigenous perspectives and issues to Secondary students. Integrating Aboriginal content and strategies across the curriculum.,Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y21
The Arts In and Across the Curriculum: Dance Primary/Junior,"Ontario Primary/Junior curriculum in the Arts discipline of Dance. Theory into practice, instructional strategies and pedagogy."
"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y22
The Arts In and Across the Curriculum: Dance Junior/Intermediate,"Exploring theory into practice, instructional strategies and pedagogy in the Arts discipline of Dance for teaching in Junior/Intermediate classrooms."
"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y23
The Arts In and Across the Curriculum: Drama Primary/Junior,"Ontario Primary/Junior curriculum in the Arts discipline of Drama. Exploration of theory into practice, instructional strategies and pedagogy."
"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y24
The Arts In and Across the Curriculum: Drama Junior/Intermediate,"Exploring theory into practice, instructional strategies and pedagogy in the Arts discipline of Drama for teaching in the Junior/Intermediate classrooms."
"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y25
The Arts In and Across the Curriculum: Music Primary/Junior,"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y26,The Arts In and Across the Curriculum: Music Junior/Intermediate
"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y27
The Arts In and Across the Curriculum: Visual Arts Primary/Junior,"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y28,The Arts In and Across the Curriculum: Visual Arts Junior/Intermediate
"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y30
Reflecting on Teaching and Learning: Theory to Practice Primary/Junior/Intermediate,"Note: course credit will not be given without the successful completion of the in-school internship and practice teaching. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y32,Teaching of Green Industries I (Grades 9 and 10) Part 2
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y33,Teaching of Green Industries I (Grades 9 and 10) Part 3
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y35,Teaching Communications Technology I (Grades 9 and 10) Part 2
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of media, including the areas of television/video and movie production, radio and audio production, print and graphic communications, photography, and interactive new media and animation. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y36
Teaching Communications Technology I (Grades 9 and 10) Part 3,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of media, including the areas of television/video and movie production, radio and audio production, print and graphic communications, photography, and interactive new media and animation. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y38,The Teaching of Construction Technology I (Grades 9 and 10) Part 2
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of the practical use of tools and materials associated with fine woodworking, furniture and cabinet making. Creating, reading and understanding working drawings; becoming familiar with common construction materials, components, and processes; perform a variety of fabrication, assembly, and finishing operations. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y39
The Teaching of Construction Technology I (Grades 9 and 10) Part 3,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of the practical use of tools and materials associated with fine woodworking, furniture and cabinet making. Creating, reading and understanding working drawings; becoming familiar with common construction materials, components, and processes; perform a variety of fabrication, assembly, and finishing operations. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y40,Professional Collaborative Communities Primary/Junior/Intermediate
"Practical experiences teaching in schools. Small, supervised, practicum-based collaborative groups that combine goal setting, professional practice and learning situated within the classroom context.","Note: successful completion of the in-school practice teaching is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y41,Professionalism and Law for Educators in Ontario Primary/Junior/Intermediate
"Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics and legal cases.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y42,Programming for Inclusive Classrooms Primary/Junior/Intermediate
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y43
"Teaching, Research, and Education Inquiry Primary/Junior/Intermediate",Development of teachers as experts who employ educational research in their teaching and actively engage in research on their practice.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y44
The Teaching of Technological Design I (Grades 9 and 10) Part 2,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of a variety of design processes that may be used in solving any technological challenge or problem. Builds on and forms a continuum with the grades seven and eight science and technology program and the grade nine Exploring Technology program. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y45,The Teaching of Technological Design I (Grades 9 and 10) Part 3
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of a variety of design processes that may be used in solving any technological challenge or problem. Builds on and forms a continuum with the grades seven and eight science and technology program and the grade nine Exploring Technology program. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y47
The Teaching of Hospitality and Tourism I (Grades 9 and 10) Part 2,"Examination of curriculum documents and resources. Overview of hospitality and tourism areas, as reflected in the various sectors of the tourism industry, emphasizing food service. Culinary techniques of food handling and preparation, health and safety standards, use of tools and equipment, origins of foods, event planning, and Ontario tourism attractions. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y48,The Teaching of Hospitality and Tourism I (Grades 9 and 10) Part 3
"Examination of curriculum documents and resources. Overview of hospitality and tourism areas, as reflected in the various sectors of the tourism industry, emphasizing food service. Culinary techniques of food handling and preparation, health and safety standards, use of tools and equipment, origins of foods, event planning, and Ontario tourism attractions. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y50
The Teaching of Manufacturing Technology I (Grades 9 and 10) Part 2,"Examination of Ontario Ministry curriculum documents and resources. Introduction to teaching strategies and skills; design and fabricate products using a variety of processes, tools, and equipment. Processes include technical drawing, properties and preparation of materials, and manufacturing techniques. Projects may include a robotic challenge, design challenge or fabrication project involving machining, welding, vacuum forming, injection moulding. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y51,The Teaching of Manufacturing Technology I (Grades 9 and 10) Part 3
"Examination of Ontario Ministry curriculum documents and resources. Introduction to teaching strategies and skills; design and fabricate products using a variety of processes, tools, and equipment. Processes include technical drawing, properties and preparation of materials, and manufacturing techniques. Projects may include a robotic challenge, design challenge or fabrication project involving machining, welding, vacuum forming, injection moulding. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y53
The Teaching of Health Care I (Grades 9 and 10) Part 2,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to teaching strategies and skills required in teaching Health Care. May include health promotion, child/adolescent health concerns, and a variety of medical services, treatments, technologies, biotechnology, home care, dental care, nursing fundamentals, dietary study and rules, exercise and disease prevention. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y54,The Teaching of Health Care I (Grades 9 and 10) Part 3
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to teaching strategies and skills required in teaching Health Care. May include health promotion, child/adolescent health concerns, and a variety of medical services, treatments, technologies, biotechnology, home care, dental care, nursing fundamentals, dietary study and rules, exercise and disease prevention. Exploration of secondary and post-secondary education pathways and career opportunities..Restriction: .Note: may be or blended.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y56
The Teaching of Hairstyling and Aesthetics I (Grades 9 and 10) Part 2,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Hairstyling, make-up and nail care techniques from a salon/spa perspective. Usage of materials, processes and techniques used in the industry. Teaching of fundamental skills in hairstyling, giving manicures and facials, and providing hair/scalp analyses and treatments. Exploring secondary and post-secondary education pathways and career opportunities including apprenticeships and direct-entry work positions."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y57,The Teaching of Hairstyling and Aesthetics I (Grades 9 and 10) Part 3
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Hairstyling, make-up and nail care techniques from a salon/spa perspective. Usage of materials, processes and techniques used in the industry. Teaching of fundamental skills in hairstyling, giving manicures and facials, and providing hair/scalp analyses and treatments. Exploring secondary and post-secondary education pathways and career opportunities including apprenticeships and direct-entry work positions.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y59
The Teaching of Transportation Technology I (Grades 9 and 10) Part 2,"Examination of Ontario Ministry curriculum documents and resources. Introduction to required teaching strategies and skills. Topics include servicing and maintenance of vehicles, aircraft, and/or watercraft. Development of knowledge and skills in construction and operation of vehicle/craft systems and maintenance/repairs. Use of practical and theoretical means to demonstrate the knowledge/skills/values needed to consider the impact of vehicles on human/social/environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y60,The Teaching of Transportation Technology I (Grades 9 and 10) Part 3
